Time (s), Cell Name, Value
13.389548, C01, 13.26322
14.288846, C01, 12.64419
658.885668, C01, 8.877645
905.443203, C01, 10.21183
263.494313, C03, 8.687998
298.616897, C04, 11.21116
821.658606, C04, 11.03289
96.774457, C08, 22.0763
119.756517, C08, 18.08181
363.766041, C08, 18.22516
470.282893, C10, 12.45447
481.374235, C10, 11.24103
537.780204, C10, 10.96152
708.996551, C10, 10.98801
314.104807, C14, 11.16743
85.58319299999999, C16, 14.15392
741.970811, C16, 15.77693
107.316228, C18, 12.37772
627.260355, C18, 14.23302
638.901268, C18, 13.63152
708.397019, C18, 12.25201
260.446692, C22, 9.925471
799.625805, C22, 9.630738
42.366928, C25, 10.54201
101.620674, C25, 9.994183
269.889322, C25, 12.10796
454.345334, C25, 11.99997
577.798965, C25, 12.14313
943.463524, C25, 10.26936
24.231085, C28, 21.0938
210.785459, C28, 21.66168
16.187363, C29, 10.26967
16.886818, C29, 7.989655
81.836118, C29, 7.909197
82.48561100000001, C29, 12.88299
89.9298, C29, 12.98378
235.466193, C29, 13.18603
236.215608, C29, 8.738201
659.735005, C29, 10.30896
741.820928, C29, 7.874768
745.168315, C29, 9.86829
745.667925, C29, 11.56495
268.590336, C30, 11.52818
111.263147, C31, 14.24932
198.744858, C31, 13.57604
298.017365, C31, 14.56738
454.844944, C31, 13.58254
591.288435, C31, 11.56241
829.102795, C31, 12.15638
915.685208, C31, 11.30147
51.709635, C32, 6.735786
125.90172, C32, 6.133619
390.894864, C32, 6.696467
578.198653, C32, 7.039821
595.385237, C32, 6.043492
27.828277, C33, 9.074096
215.182027, C33, 9.38579
333.639558, C33, 13.89763
429.964366, C33, 12.87552
464.987027, C33, 9.545452
543.175992, C33, 10.35661
931.372962, C33, 9.102857
0.199844, C38, 45.81412
0.799376, C38, 33.22615
113.461431, C38, 30.19624
113.861119, C38, 35.1097
116.109364, C38, 24.77167
206.33893, C38, 25.10545
206.788579, C38, 24.62547
414.876144, C38, 43.22276
417.723921, C38, 47.07471
636.253335, C38, 26.57966
637.452399, C38, 36.57111
638.00197, C38, 26.82089
544.624861, C40, 47.0998
201.192947, C42, 45.4976
226.223408, C42, 33.59177
333.939324, C42, 37.44999
0.599532, C43, 22.47834
0.949259, C43, 27.60301
2.49805, C43, 20.56561
31.775196, C43, 25.76354
32.274805, C43, 22.29441
42.616733, C43, 30.92689
118.157765, C43, 36.19237
121.704996, C43, 22.53817
163.472392, C43, 26.53143
302.463894, C43, 34.22519
474.12989, C43, 24.24944
626.361057, C43, 20.24099
727.681965, C43, 27.3823
730.379859, C43, 21.40413
756.609384, C43, 38.30185
757.958331, C43, 29.42184
878.514224, C43, 21.83369
881.162157, C43, 25.58131
8.393447999999999, C44, 29.4422
23.631553, C44, 34.70108
24.081202, C44, 20.61604
24.430929, C44, 29.08709
52.059362, C44, 33.91299
52.708855, C44, 20.20838
178.310809, C44, 32.40998
179.110185, C44, 24.11839
179.509873, C44, 27.06184
239.562995, C44, 26.00553
245.758159, C44, 42.36753
246.057925, C44, 83.33122
257.349111, C44, 46.96957
257.948643, C44, 66.44827
258.847941, C44, 25.43971
419.272712, C44, 38.41293
419.722361, C44, 23.1844
442.15485, C44, 24.10351
504.556139, C44, 60.93955
546.673262, C44, 43.73664
597.233794, C44, 21.00724
993.924134, C44, 28.88271
995.123198, C44, 23.74426
246.357691, C46, 36.49472
489.417956, C46, 48.59216
51.010181, C47, 51.65551
318.701219, C47, 41.48447
32.424689, C49, 38.3508
32.674494, C49, 56.9922
158.026643, C49, 47.48735
158.776058, C49, 45.69955
159.025863, C49, 75.2449
250.904142, C49, 84.43944
321.099347, C49, 54.83544
321.798801, C49, 47.12698
322.098567, C49, 34.55978
325.346032, C49, 46.18076
325.645798, C49, 57.41168
326.095447, C49, 53.68291
424.218851, C49, 92.74709
427.566238, C49, 140.1126
428.315653, C49, 28.47791
428.465536, C49, 94.66405
429.264912, C49, 28.17926
598.133092, C49, 53.53746
598.53278, C49, 41.69924
607.02615, C49, 39.68831
679.7194050000001, C49, 29.64533
680.169054, C49, 69.41147
680.96843, C49, 47.38
681.368118, C49, 38.28111
695.557042, C49, 33.76444
817.062194, C49, 32.0374
817.4618819999999, C49, 55.91203
285.077466, C51, 37.26534
0.899298, C54, 37.76621
17.836077, C54, 35.07569
34.622973, C54, 33.79227
35.022661, C54, 44.40844
84.534012, C54, 31.95811
97.523872, C54, 29.75498
98.273287, C54, 30.72846
110.463771, C54, 32.0639
130.598053, C54, 33.09285
130.94778, C54, 43.27473
131.547313, C54, 28.40228
132.246767, C54, 41.83318
203.441192, C54, 55.23973
204.090685, C54, 43.31603
272.587216, C54, 47.24236
275.534915, C54, 28.55736
409.080668, C54, 32.6618
417.17435, C54, 75.86333
445.502237, C54, 40.55753
453.396075, C54, 42.25908
506.404696, C54, 40.28502
511.051069, C54, 79.29217
565.4585980000001, C54, 32.11436
570.854386, C54, 55.51112
608.674863, C54, 37.116
668.528141, C54, 32.85474
670.226815, C54, 33.5937
671.275996, C54, 29.46832
673.524241, C54, 65.76836
703.2010749999999, C54, 33.58332
704.300217, C54, 29.41426
704.749866, C54, 29.20501
818.411141, C54, 35.27593
824.456422, C54, 37.00674
824.8561099999999, C54, 46.05958
899.697688, C54, 38.92312
900.147337, C54, 31.98396
900.547025, C54, 28.39532
214.482573, C55, 48.88176
379.353873, C55, 49.44985
76.540252, C57, 40.34971
81.33650799999999, C57, 42.74279
152.580894, C57, 43.11638
173.314709, C57, 46.29401
174.913461, C57, 94.13403
635.4539590000001, C57, 49.66146
666.179974, C57, 42.1344
671.875528, C57, 44.81126
672.175294, C57, 37.45177
672.525021, C57, 50.12711
688.812307, C57, 34.1933
736.525062, C57, 39.15955
737.8240479999999, C57, 38.21501
807.769448, C61, 31.78831
177.161706, C62, 66.44261
415.026027, C62, 64.32587
626.061291, C62, 59.87297
