Time (s), Cell Name, Value
18.98518, C000, 10.01904
107.266267, C000, 10.39355
331.291391, C000, 54.23689
352.075167, C000, 15.09755
427.16655, C000, 47.16034
434.16109, C000, 11.65432
489.11819, C000, 41.06202
4.846217, C001, 11.24202
5.145983, C001, 85.04897
142.438811, C001, 5.815844
200.643376, C001, 68.03281
253.851841, C001, 81.53091
293.920563, C001, 11.83026
294.320251, C001, 16.81377
300.365532, C001, 32.36488
300.965064, C001, 52.95234
469.033868, C001, 45.5312
520.893385, C001, 20.63485
527.738042, C001, 27.4636
578.198653, C001, 12.37397
644.646783, C001, 45.47451
645.596042, C001, 32.67609
663.4321189999999, C001, 6.344645
675.422759, C001, 28.66928
677.4711600000001, C001, 46.56631
78.688575, C002, 45.8509
221.177347, C002, 10.9673
493.015148, C002, 80.06162
542.176772, C002, 53.34043
571.753684, C002, 7.925195
671.625723, C002, 15.49671
0.49961, C003, 14.00213
2.797816, C003, 10.83966
60.902459, C003, 12.00565
260.846381, C003, 23.24025
578.348536, C003, 11.45844
617.617882, C003, 11.59881
4.646373, C004, 10.68406
49.311507, C004, 8.883101
221.077425, C004, 9.448012
260.29681, C004, 14.83753
284.627817, C004, 10.41501
300.715259, C004, 9.150915
302.363972, C004, 10.58193
520.843425, C004, 11.63565
617.867687, C004, 9.80309
260.846381, C006, 30.59423
261.296029, C006, 11.39069
521.043269, C006, 28.58174
584.243934, C006, 26.85718
617.617882, C006, 34.96908
40.318527, C007, 9.00139
42.516811, C007, 10.36044
78.688575, C007, 9.129233
115.010222, C007, 11.40016
219.778439, C007, 11.08069
421.071308, C007, 10.05023
478.676341, C007, 9.486727
15.088222, C008, 31.187
16.437169, C008, 33.81504
40.318527, C008, 62.76078
114.710456, C008, 89.51205
186.504413, C008, 94.73316
187.403711, C008, 16.30408
217.979843, C008, 18.78099
219.278829, C008, 69.36669
219.8284, C008, 17.81194
270.588776, C008, 17.17039
272.637177, C008, 24.21361
420.871464, C008, 87.55007
478.676341, C008, 40.61022
619.966049, C008, 58.00122
623.613202, C008, 49.42366
624.962149, C008, 32.11321
670.776386, C008, 35.63958
250.404532, C009, 11.55251
396.940145, C009, 11.78537
621.764645, C009, 11.33944
170.966542, C010, 10.38668
206.83854, C010, 10.22184
53.258426, C011, 7.656574
