Time (s), Cell Name, Value
19.584712, C001, 7.591133
31.725235, C001, 6.551509
34.273246, C001, 7.239586
153.530153, C001, 5.993982
264.243728, C001, 7.277803
267.541155, C001, 5.841452
338.585697, C001, 8.202774
649.3930779999999, C001, 8.741203
649.792766, C001, 6.026875
684.8653880000001, C001, 6.452398
1010.261381, C001, 6.201577
123.103904, C002, 30.47488
210.485693, C002, 15.80967
215.631676, C002, 24.72446
247.456833, C002, 14.83914
252.80266, C002, 18.77602
255.200788, C002, 25.73447
290.473254, C002, 12.94016
302.713699, C002, 14.00339
310.507615, C002, 12.74165
395.591198, C002, 17.11544
412.67786, C002, 23.60025
472.930826, C002, 17.96238
610.2736149999999, C002, 12.99559
610.973069, C002, 14.56601
612.5218599999999, C002, 19.82212
635.3540369999999, C002, 14.32928
666.4297790000001, C002, 13.00202
728.781107, C002, 14.17325
64.44969, C003, 18.69015
67.996921, C003, 15.25864
69.245946, C003, 15.06398
78.638614, C003, 26.67139
79.837678, C003, 15.38872
290.872942, C003, 14.83678
311.706679, C003, 23.47121
371.659879, C003, 21.16155
374.20789, C003, 14.16359
413.777002, C003, 16.00893
469.683361, C003, 14.58471
473.480397, C003, 22.24672
478.026848, C003, 19.28743
580.097171, C003, 14.38974
581.396157, C003, 14.74731
596.3344959999999, C003, 18.15421
701.252596, C003, 20.84661
881.062235, C003, 24.23908
891.504084, C003, 25.17931
953.605607, C003, 17.2802
954.305061, C003, 14.35438
90.279527, C004, 9.251436
167.119545, C004, 8.467926
446.201691, C004, 10.14964
7.544111, C007, 5.095431
14.838417, C007, 4.690142
17.786116, C007, 4.864057
24.530851, C007, 7.160095
35.422349, C007, 4.952845
37.670594, C007, 4.518947
62.751016, C007, 5.607693
82.185845, C007, 5.026022
92.827538, C007, 4.577278
104.518412, C007, 5.982567
189.751878, C007, 5.248112
191.400591, C007, 4.831533
192.050084, C007, 4.954689
195.597315, C007, 5.540422
221.527074, C007, 5.200033
288.974424, C007, 5.560612
331.291391, C007, 4.879776
331.441274, C007, 4.569735
369.661439, C007, 5.481587
369.861283, C007, 6.81367
376.905784, C007, 4.360007
379.054107, C007, 4.48522
379.20399, C007, 5.28861
460.540498, C007, 4.87244
489.517878, C007, 6.007977
513.399236, C007, 4.613503
523.09167, C007, 5.109906
531.635001, C007, 4.958754
597.583521, C007, 5.810207
634.654583, C007, 4.561196
638.251775, C007, 4.835266
640.649903, C007, 4.462472
645.246315, C007, 4.589285
655.038671, C007, 4.576461
700.3033370000001, C007, 5.1804
758.757707, C007, 5.014362
839.944332, C007, 5.25466
889.8054100000001, C007, 6.378774
919.232439, C007, 5.20343
963.997495, C007, 5.505583
27.628433, C008, 10.77302
28.377848, C008, 8.536249
29.127263, C008, 10.38517
29.526951, C008, 8.829536
30.875898, C008, 11.35393
32.374727, C008, 8.45545
92.128084, C008, 12.15469
182.457572, C008, 11.83202
182.957182, C008, 13.26599
205.589515, C008, 9.947803
207.937682, C008, 8.327223
208.287409, C008, 9.538658
208.737058, C008, 11.59058
209.086785, C008, 10.23394
255.500554, C008, 10.77925
256.599696, C008, 12.69352
339.335112, C008, 11.59082
513.09947, C008, 12.97562
513.549119, C008, 10.51528
514.398456, C008, 9.989578
546.123691, C008, 15.36512
572.403177, C008, 9.998919
573.302475, C008, 35.088
574.001929, C008, 8.49176
574.1518119999999, C008, 13.49863
574.351656, C008, 14.73783
574.851266, C008, 10.34137
575.600681, C008, 13.50036
575.7505640000001, C008, 25.08124
575.900447, C008, 8.427929
608.1252919999999, C008, 8.876705
