Time (s), Cell Name, Value
89.28030699999999, C00, 9.591798
161.973562, C00, 11.86619
242.660577, C00, 16.05889
25.530071, C01, 23.85508
39.169424, C01, 54.35552
46.513691, C01, 24.77761
86.632374, C01, 23.68869
91.578513, C01, 16.26477
98.67297499999999, C01, 14.73966
99.672195, C01, 15.48678
112.512172, C01, 16.80684
113.111704, C01, 24.98768
139.990722, C01, 13.75965
180.259288, C01, 25.04455
249.355351, C01, 28.68705
345.979925, C01, 14.22968
417.623999, C01, 16.62579
424.418695, C01, 51.05072
451.897245, C01, 13.0796
465.936286, C01, 19.09217
496.412496, C01, 29.99422
526.788783, C01, 13.96347
546.523379, C01, 45.59834
547.622521, C01, 14.86325
623.713124, C01, 13.28643
644.197134, C01, 30.78259
256.949423, C02, 7.292373
25.330227, C03, 21.52077
39.319307, C03, 28.41805
46.513691, C03, 17.98788
99.872039, C03, 14.92482
112.662055, C03, 38.80565
179.759678, C03, 16.65453
180.209327, C03, 25.44171
249.405312, C03, 22.00912
249.854961, C03, 18.22045
345.630198, C03, 33.27798
417.67396, C03, 35.4346
424.468656, C03, 33.21015
425.018227, C03, 19.78149
496.11273, C03, 49.36114
546.473418, C03, 39.80062
547.522599, C03, 20.74321
644.147173, C03, 34.48998
4.546451, C06, 16.4632
10.291966, C06, 16.24632
25.030461, C06, 99.84611
40.96802, C06, 27.44985
59.003941, C06, 37.39186
62.151484, C06, 40.88814
94.576173, C06, 62.67139
101.171025, C06, 68.30678
117.608194, C06, 36.21869
118.90718, C06, 16.70741
134.544973, C06, 39.78309
137.192906, C06, 20.24285
139.940761, C06, 14.35115
145.836159, C06, 30.62915
146.535613, C06, 18.75426
150.482532, C06, 17.71856
150.88222, C06, 37.23583
163.272548, C06, 16.95158
197.196067, C06, 69.73573
201.642596, C06, 13.93809
221.776879, C06, 22.67422
225.723798, C06, 16.31293
248.655897, C06, 43.38718
273.986124, C06, 18.82386
296.168808, C06, 69.47365
315.104027, C06, 36.1058
315.853442, C06, 16.47519
332.190689, C06, 51.12303
349.077507, C06, 24.83664
395.741081, C06, 33.60762
408.980746, C06, 24.68781
414.276612, C06, 31.16233
417.124389, C06, 31.33614
420.421815, C06, 26.38805
435.410115, C06, 35.39785
480.225132, C06, 33.8756
510.651381, C06, 30.65933
512.250133, C06, 32.28509
534.882466, C06, 64.5345
549.820805, C06, 27.75709
550.5702199999999, C06, 37.89636
551.4195570000001, C06, 14.29445
552.0690499999999, C06, 14.195
592.237694, C06, 43.31722
612.371977, C06, 35.68075
636.253335, C06, 37.09976
638.251775, C06, 48.02211
198.295209, C07, 7.05581
315.853442, C07, 6.304269
41.417669, C08, 5.844017
42.516811, C08, 4.440716
50.210805, C08, 4.577369
64.899339, C08, 4.650558
65.249066, C08, 6.427299
88.131204, C08, 4.924359
110.963381, C08, 4.626641
131.147625, C08, 4.31802
213.433392, C08, 5.645894
223.925202, C08, 4.212605
228.121926, C08, 4.233583
239.163307, C08, 5.317758
267.241389, C08, 4.243531
276.28433, C08, 4.282423
298.616897, C08, 4.358296
301.714479, C08, 5.003916
356.771501, C08, 4.419074
363.466275, C08, 4.620794
387.19775, C08, 4.43766
402.885504, C08, 4.273476
425.767642, C08, 4.180002
433.361714, C08, 4.252385
529.08699, C08, 5.751041
584.693583, C08, 4.414234
667.9286090000001, C08, 4.302742
669.4774, C08, 4.598801
10.192044, C09, 8.542857
76.090603, C09, 8.512791
234.716778, C09, 10.19284
39.768956, C10, 5.887249
100.471571, C10, 5.757162
342.782421, C10, 5.971546
399.338273, C10, 6.230833
472.581099, C10, 5.727393
590.339176, C10, 7.268634
3.946919, C12, 3.413881
4.9961, C12, 3.971684
6.045281, C12, 3.584206
7.044501, C12, 4.019355
14.288846, C12, 4.932206
17.236545, C12, 3.439258
23.731475, C12, 3.93393
45.114783, C12, 3.369585
51.259986, C12, 5.080303
117.957921, C12, 3.291922
130.298288, C12, 3.924251
139.640995, C12, 3.482314
141.189786, C12, 4.007158
141.589474, C12, 3.786002
143.38807, C12, 3.3504
143.537953, C12, 4.493034
151.631635, C12, 3.712948
154.629295, C12, 3.519607
189.202307, C12, 3.30796
196.146886, C12, 3.897823
200.193727, C12, 4.199922
229.8206, C12, 3.32056
242.260889, C12, 4.13529
249.30539, C12, 4.286304
249.755039, C12, 3.631274
255.350671, C12, 3.852979
267.641077, C12, 4.311536
279.032185, C12, 3.544943
287.425633, C12, 3.299448
307.26015, C12, 3.51119
323.547436, C12, 3.538586
324.996305, C12, 4.286936
330.192249, C12, 3.643854
340.933864, C12, 3.3108
341.283591, C12, 3.64621
342.682499, C12, 3.688966
346.779301, C12, 4.298909
349.677039, C12, 4.76827
359.319512, C12, 4.814202
362.816782, C12, 4.141396
368.162609, C12, 3.802006
384.250051, C12, 3.291974
395.141549, C12, 3.458717
395.291432, C12, 3.908836
418.073648, C12, 3.55789
428.565458, C12, 3.55275
430.513937, C12, 4.010706
455.944086, C12, 3.356575
470.732542, C12, 4.735413
485.021388, C12, 3.876966
490.866825, C12, 3.792351
512.649821, C12, 4.335138
528.937106, C12, 3.494991
547.822365, C12, 3.714352
554.4172170000001, C12, 3.680275
564.159612, C12, 4.825515
569.905127, C12, 3.290251
570.754464, C12, 3.379777
578.898107, C12, 3.363475
586.492179, C12, 3.610132
589.240034, C12, 3.620962
596.53434, C12, 3.549528
622.114372, C12, 4.962554
628.00977, C12, 3.628519
649.3930779999999, C12, 3.644999
649.592922, C12, 3.540636
656.0378909999999, C12, 4.644873
1.49883, C13, 4.431611
11.640913, C13, 3.368686
15.238105, C13, 2.992435
16.637013, C13, 4.08552
19.684634, C13, 3.117048
21.832957, C13, 3.01586
25.080422, C13, 3.507895
27.178784, C13, 2.882843
32.674494, C13, 4.403955
36.071842, C13, 3.019712
36.221725, C13, 3.80545
38.869658, C13, 3.303101
39.669034, C13, 2.962587
41.017981, C13, 3.315881
41.367708, C13, 4.506186
41.517591, C13, 3.711637
44.415329, C13, 4.779914
56.45593, C13, 2.89346
57.205345, C13, 3.600963
61.901679, C13, 3.961466
83.634714, C13, 3.682807
86.88217899999999, C13, 3.19399
91.228786, C13, 3.30162
97.124184, C13, 3.976088
99.22254599999999, C13, 3.420092
103.069543, C13, 5.363662
105.967281, C13, 3.496485
109.41459, C13, 3.085509
109.814278, C13, 3.953679
114.610534, C13, 4.023652
124.203046, C13, 3.561948
128.000081, C13, 4.006109
142.488772, C13, 3.298059
147.035223, C13, 3.396939
151.681596, C13, 3.136399
153.280348, C13, 3.382037
156.577774, C13, 4.685769
172.165606, C13, 3.189215
175.063344, C13, 3.484639
181.35843, C13, 4.871478
190.85102, C13, 3.383757
195.447432, C13, 3.001557
200.393571, C13, 3.773342
206.83854, C13, 3.520696
209.136746, C13, 2.853184
215.781559, C13, 4.060191
216.880701, C13, 3.348837
219.478673, C13, 3.014312
221.676957, C13, 3.14635
222.82606, C13, 2.886489
223.075865, C13, 3.140777
225.723798, C13, 3.945813
228.971263, C13, 3.323577
231.069625, C13, 2.995394
233.81748, C13, 3.569328
241.211708, C13, 3.564084
242.560655, C13, 3.451709
256.599696, C13, 4.248009
260.047005, C13, 3.420625
274.585656, C13, 3.029348
276.634057, C13, 3.293461
283.578636, C13, 3.277606
292.871382, C13, 4.104261
301.314791, C13, 2.939714
302.164128, C13, 3.947907
310.057966, C13, 3.026637
310.557576, C13, 3.685683
316.053286, C13, 3.41721
324.446734, C13, 2.908802
333.589597, C13, 3.597904
334.588817, C13, 2.994684
336.23753, C13, 3.213063
337.686399, C13, 2.987637
346.329652, C13, 2.948187
346.429574, C13, 4.062651
363.116548, C13, 3.204932
365.264871, C13, 3.882949
369.011946, C13, 3.478316
372.059567, C13, 2.903677
377.455355, C13, 3.752039
377.905004, C13, 2.949569
382.751221, C13, 3.103574
385.748881, C13, 3.236236
387.497516, C13, 3.073305
391.244591, C13, 3.751381
393.992446, C13, 3.289546
402.485816, C13, 3.993469
410.279732, C13, 2.889881
413.127509, C13, 3.128083
415.525637, C13, 2.95646
415.725481, C13, 3.652396
424.068968, C13, 2.891366
424.568578, C13, 2.951931
427.965926, C13, 3.858338
438.257892, C13, 4.832337
439.606839, C13, 3.047598
443.503797, C13, 4.189108
445.65212, C13, 3.233805
447.850404, C13, 3.022763
450.698181, C13, 3.428924
452.64666, C13, 3.263963
452.846504, C13, 3.275957
458.791863, C13, 3.685818
463.837924, C13, 3.142314
465.336754, C13, 2.905794
469.6334, C13, 2.927342
473.230592, C13, 2.996108
477.427316, C13, 3.442785
478.926146, C13, 2.891622
481.524118, C13, 2.859513
481.723962, C13, 3.101191
484.371895, C13, 2.984779
492.765343, C13, 3.599852
493.914446, C13, 2.916986
502.357855, C13, 3.565279
510.851225, C13, 2.996144
513.199392, C13, 3.360344
516.346935, C13, 3.098551
523.59128, C13, 3.34158
526.289174, C13, 3.857799
530.7357019999999, C13, 4.568157
533.58348, C13, 3.133283
543.525719, C13, 4.291129
543.725563, C13, 3.561962
544.874666, C13, 5.112833
558.214253, C13, 2.863865
562.211133, C13, 3.009938
562.4609380000001, C13, 2.954984
564.009729, C13, 3.591743
564.409417, C13, 3.218306
566.008169, C13, 2.924204
569.305595, C13, 3.066362
573.55228, C13, 3.43698
577.8988869999999, C13, 3.175054
579.847366, C13, 2.846806
580.8965470000001, C13, 4.026381
581.146352, C13, 2.952704
586.54214, C13, 3.631521
595.734964, C13, 3.485317
600.631142, C13, 3.064356
603.7287240000001, C13, 3.760126
610.323576, C13, 3.595188
613.770885, C13, 3.485525
615.319676, C13, 2.956008
615.569481, C13, 3.756774
616.218974, C13, 2.875418
618.4172579999999, C13, 3.75914
620.465659, C13, 3.854772
627.060511, C13, 2.859607
630.707664, C13, 3.340247
633.405558, C13, 3.573083
636.2033740000001, C13, 2.845038
637.752165, C13, 3.0869
638.3516969999999, C13, 2.928968
638.651463, C13, 3.573561
640.150293, C13, 3.581192
640.899708, C13, 3.07425
643.647563, C13, 3.968131
647.9941700000001, C13, 3.612034
648.293936, C13, 2.86583
648.893468, C13, 3.899053
654.239295, C13, 3.005507
655.588242, C13, 3.022902
659.834927, C13, 2.951897
663.781846, C13, 2.844767
673.47428, C13, 3.134546
4.546451, C14, 3.239308
16.786896, C14, 3.178165
17.236545, C14, 3.19127
22.832177, C14, 4.222533
33.823597, C14, 4.074302
35.322427, C14, 5.227499
45.364588, C14, 3.326697
45.714315, C14, 4.368357
56.95554, C14, 3.195202
86.13276399999999, C14, 3.203288
92.57773299999999, C14, 3.228075
106.217086, C14, 3.054848
112.162445, C14, 4.19707
116.009442, C14, 4.500655
128.399769, C14, 3.284366
129.598834, C14, 3.315638
129.898599, C14, 3.251753
136.093764, C14, 3.005342
136.543413, C14, 3.489316
142.938421, C14, 3.437551
143.38807, C14, 3.713165
148.983702, C14, 3.107508
155.178866, C14, 3.781721
156.977462, C14, 3.122847
164.271768, C14, 3.552544
164.471612, C14, 2.97126
164.971222, C14, 3.804633
183.057104, C14, 3.192774
184.256168, C14, 3.233696
188.85258, C14, 3.623068
195.597315, C14, 3.088965
199.044624, C14, 3.113539
200.943142, C14, 5.682703
201.192947, C14, 3.874352
202.991543, C14, 4.031529
216.930662, C14, 3.665074
217.080545, C14, 3.359159
222.076645, C14, 3.324849
222.626216, C14, 4.114244
224.025124, C14, 3.741369
224.724578, C14, 4.574812
233.517714, C14, 3.279898
233.967363, C14, 3.728577
247.656677, C14, 4.178313
253.152387, C14, 4.300953
253.602036, C14, 3.238359
267.091505, C14, 3.023909
268.690258, C14, 3.315645
271.088386, C14, 3.578859
271.637957, C14, 3.110496
277.183628, C14, 3.248459
279.481834, C14, 3.58936
280.78082, C14, 3.226352
282.679338, C14, 4.369773
291.622357, C14, 3.295674
301.664518, C14, 3.298232
302.114167, C14, 2.990478
304.26249, C14, 3.477382
311.157108, C14, 3.410484
312.605977, C14, 3.660799
312.805821, C14, 3.033704
328.343692, C14, 3.443075
