Time (s), Cell Name, Value
72.69325499999999, C000, 21.65981
104.818178, C000, 18.54756
316.25313, C000, 16.27294
471.881645, C000, 15.49972
868.472063, C000, 14.86869
306.410813, C001, 6.104113
328.793341, C001, 6.504486
362.317172, C001, 7.497684
497.261833, C001, 7.656458
826.654706, C001, 6.522587
873.81789, C001, 6.574238
875.166837, C001, 7.400706
348.178209, C002, 12.01659
558.0643700000001, C003, 6.962985
615.469559, C003, 7.589267
688.012931, C003, 6.914767
845.34012, C003, 6.790845
89.63003399999999, C004, 7.150524
197.84556, C004, 7.005523
439.456956, C004, 6.662374
23.98128, C005, 5.624036
112.212406, C005, 5.687515
121.255347, C005, 5.388505
177.461472, C005, 5.463
275.734759, C005, 5.386003
286.226569, C005, 5.225748
299.466234, C005, 6.43133
436.65914, C005, 6.114687
507.60376, C005, 5.198407
533.683402, C005, 6.451973
680.818547, C005, 5.734237
793.330719, C005, 5.232616
870.470503, C005, 5.390882
875.466603, C005, 6.519796
913.736729, C005, 5.758698
914.236339, C005, 5.517075
914.386222, C005, 5.289915
65.848597, C006, 6.530741
251.30383, C006, 6.003414
265.692597, C006, 6.205879
361.417874, C006, 6.69594
405.633359, C006, 5.998421
505.255593, C006, 6.128206
575.500759, C006, 6.279152
872.468943, C006, 6.631705
874.717188, C006, 8.513007
879.713288, C006, 6.368391
914.086456, C006, 6.624093
108.465331, C007, 8.411062
184.106285, C007, 9.466866
209.436512, C007, 10.17125
264.443573, C007, 8.176254
625.561681, C007, 8.56662
912.78747, C007, 10.59305
497.411716, C008, 6.940201
779.3916, C008, 7.542981
913.2870799999999, C008, 7.636889
185.555154, C009, 5.983003
201.592635, C009, 5.432842
224.224968, C009, 5.425036
275.734759, C009, 6.276916
285.377232, C009, 5.509905
292.171928, C009, 7.688046
304.312451, C009, 5.577799
307.75976, C009, 5.730292
390.445215, C009, 6.348434
431.762962, C009, 5.321417
527.58816, C009, 6.393985
572.952748, C009, 7.495
587.391477, C009, 6.85993
592.337616, C009, 6.044762
601.730284, C009, 5.631145
604.4781390000001, C009, 5.269657
678.820107, C009, 5.251983
776.1940959999999, C009, 5.421414
66.298247, C010, 4.321265
69.19598499999999, C010, 4.405189
70.395049, C010, 8.237815
71.04454200000001, C010, 4.269396
77.739316, C010, 4.237924
78.538692, C010, 4.306469
82.735416, C010, 4.733909
86.832218, C010, 6.424376
90.57929300000001, C010, 4.607894
94.126524, C010, 6.340854
95.02582200000001, C010, 5.418543
104.218646, C010, 5.405385
111.213186, C010, 4.595732
114.060963, C010, 4.275479
120.156205, C010, 4.529571
134.195246, C010, 5.380399
139.241307, C010, 4.862523
146.185886, C010, 4.25199
197.795599, C010, 4.494519
199.294429, C010, 4.276405
204.190607, C010, 4.897851
263.194548, C010, 4.455256
272.137567, C010, 4.470967
278.382692, C010, 4.42775
297.717599, C010, 4.319694
299.716039, C010, 4.289294
329.442834, C010, 5.967979
369.961205, C010, 4.252819
383.050987, C010, 4.62228
392.093928, C010, 4.29273
396.240691, C010, 6.901098
415.825403, C010, 4.955787
471.13223, C010, 4.302979
479.425756, C010, 4.768854
503.506958, C010, 4.861859
563.909807, C010, 5.363819
586.242374, C010, 4.694854
586.891867, C010, 4.626295
632.056611, C010, 4.764152
633.405558, C010, 4.85883
638.4516190000001, C010, 7.258064
651.241635, C010, 5.100139
664.431339, C010, 5.881279
671.5757620000001, C010, 4.28387
678.8700679999999, C010, 4.296338
694.557822, C010, 4.429115
753.861529, C010, 5.982092
770.648425, C010, 5.520329
774.7951880000001, C010, 4.688834
778.042653, C010, 4.760425
787.38536, C010, 4.491372
790.333059, C010, 5.505415
803.173036, C010, 6.471844
803.772568, C010, 6.207178
815.513403, C010, 4.732078
825.155876, C010, 4.274381
865.32452, C010, 4.400576
889.255839, C010, 4.705029
903.0950360000001, C010, 5.238665
913.986534, C010, 4.384747
