Time (s), Cell Name, Value
3.34732, C000, 7.364029
412.46976, C001, 11.97407
26.12908, C002, 4.551889
33.82292, C002, 4.790201
34.972, C002, 5.667407
60.2018, C002, 5.08703
63.74896, C002, 4.479015
74.14064, C002, 4.820927
143.73492, C002, 4.828073
143.98472, C002, 4.627271
165.41756, C002, 4.779314
208.28324, C002, 4.427595
211.18092, C002, 5.887616
217.8256, C002, 4.451918
266.73644, C002, 5.10853
285.2716, C002, 4.893801
311.80036, C002, 4.475454
327.7376, C002, 4.764706
340.7272, C002, 4.499204
353.26716, C002, 5.168868
362.7096, C002, 5.44703
387.78952, C002, 4.64736
395.03372, C002, 6.337641
476.16876, C002, 4.754387
498.30104, C002, 5.464048
533.67272, C002, 5.334683
546.11276, C002, 5.078594
576.58836, C002, 4.905691
578.73664, C002, 4.690471
598.72064, C002, 4.681561
2.59792, C003, 4.34754
3.09752, C003, 4.310228
18.2354, C003, 4.560457
61.201, C003, 4.849717
104.31648, C003, 4.909554
164.51828, C003, 5.330114
203.78684, C003, 4.618864
253.84676, C003, 4.283553
325.4894, C003, 4.220216
369.15444, C003, 4.919573
421.86224, C003, 4.143156
432.95336, C003, 4.106126
451.58844, C003, 4.322741
452.83744, C003, 4.013063
501.94812, C003, 5.804067
540.5672, C003, 4.930973
547.21188, C003, 4.419784
649.43004, C003, 5.063749
657.62348, C003, 3.998181
666.7162, C003, 4.922903
544.76384, C004, 16.33718
20.2338, C007, 10.6866
55.40564, C007, 8.666288
59.90204, C007, 9.104734
195.69332, C007, 8.607315
398.33108, C007, 8.931517
9.64228, C008, 5.881546
10.69144, C008, 6.053389
16.28696, C008, 8.537738
16.88648, C008, 6.580059
17.93564, C008, 8.084543
18.13548, C008, 5.199454
18.28536, C008, 8.706831
19.28456, C008, 5.944256
19.63428, C008, 7.385165
21.63268, C008, 6.734326
22.28216, C008, 14.02174
24.53036, C008, 6.20541
26.87848, C008, 5.59725
28.37728, C008, 6.141845
36.52076, C008, 6.562045
48.56112, C008, 5.246885
67.9456, C008, 5.830894
77.9376, C008, 5.435459
83.28332, C008, 6.435101
95.72336, C008, 5.229134
99.57028, C008, 5.811532
136.74052, C008, 5.213942
157.47392, C008, 5.59599
164.71812, C008, 7.354335
169.864, C008, 5.871009
171.01308, C008, 5.344461
199.0906, C008, 5.685628
211.48068, C008, 5.443544
214.72808, C008, 6.183219
216.92632, C008, 5.25165
229.26644, C008, 6.216893
262.68968, C008, 5.463264
275.7792, C008, 5.229743
294.764, C008, 6.587794
299.0106, C008, 5.600199
380.945, C008, 5.454381
416.6664, C008, 7.26908
420.71316, C008, 6.011383
422.6616, C008, 6.000887
436.75032, C008, 5.875759
455.53528, C008, 5.658473
463.42896, C008, 5.69489
475.1196, C008, 7.359496
596.5223999999999, C008, 5.272104
20.28376, C009, 11.38362
21.93244, C009, 6.483183
23.88088, C009, 6.265867
25.52956, C009, 7.046304
107.86364, C009, 6.348704
153.07744, C009, 6.230075
413.6688, C009, 9.538937
414.96776, C009, 7.628472
422.36184, C009, 6.903853
31.77456, C010, 5.946708
33.4732, C010, 8.918172
37.12028, C010, 7.134089
40.76736, C010, 6.303118
61.55072, C010, 7.447576
152.8776, C010, 6.594643
175.25968, C010, 7.439081
196.29284, C010, 6.341504
198.0914, C010, 6.794705
272.7816, C010, 6.002903
325.4894, C010, 5.872291
394.63404, C010, 5.682163
400.02972, C010, 6.245307
633.09312, C010, 5.820314
664.26816, C010, 5.881046
32.12428, C011, 6.150633
425.00972, C011, 5.971241
431.00492, C011, 6.146893
479.66596, C011, 5.705701
17.03636, C012, 7.210009
18.88488, C012, 9.441654
20.28376, C012, 11.39432
23.28136, C012, 7.070966
23.83092, C012, 7.456307
26.37888, C012, 7.328398
29.62628, C012, 8.696199
121.6526, C012, 7.140924
124.85004, C012, 6.788125
234.46228, C012, 6.851865
238.50904, C012, 7.078166
241.65652, C012, 7.365356
412.56968, C012, 7.363375
415.01772, C012, 7.295913
416.96616, C012, 8.144932
419.61404, C012, 10.25864
461.83024, C012, 7.305408
24.53036, C013, 7.427379
134.192559, C013, 9.279902
226.3188, C013, 10.64657
258.19328, C013, 7.816406
263.23924, C013, 7.100118
304.35632, C013, 6.998378
340.52736, C013, 7.155797
53.85688, C014, 9.458578
68.4452, C014, 8.080001
72.1922, C014, 6.44811
81.88444, C014, 6.44602
166.91636, C014, 6.043277
0.39968, C015, 5.87847
4.54636, C015, 6.798633
8.043559, C015, 7.544737
14.28856, C015, 7.092784
17.53596, C015, 6.917645
17.68584, C015, 5.168191
20.68344, C015, 7.343393
24.43044, C015, 4.88066
27.02836, C015, 7.644005
37.27016, C015, 5.755991
86.78052, C015, 8.886861
89.07868000000001, C015, 7.492611
90.1778, C015, 6.396114
130.1458, C015, 7.076046
154.52628, C015, 5.000535
164.41836, C015, 4.974795
174.46032, C015, 5.556868
205.03584, C015, 5.398632
234.812, C015, 5.8498
235.71128, C015, 4.920901
292.61572, C015, 5.675236
293.7648, C015, 6.906686
293.91468, C015, 7.139693
299.5102, C015, 7.547102
334.2324, C015, 5.116331
340.7272, C015, 5.294719
377.39784, C015, 4.955821
420.4134, C015, 6.785575
432.4038, C015, 6.472396
433.05328, C015, 6.631046
447.19196, C015, 5.204614
465.877, C015, 6.507984
469.624, C015, 5.804888
539.568, C015, 5.922023
557.45368, C015, 4.965653
568.6946799999999, C015, 5.379745
657.07392, C015, 5.574459
19.78416, C017, 9.883575
20.53356, C017, 9.187418
20.9832, C017, 12.47238
21.38288, C017, 33.54525
21.9824, C017, 11.14207
22.68184, C017, 14.57722
62.35008, C017, 9.048296
355.56532, C017, 26.1675
383.6928, C017, 41.47419
384.9418, C017, 11.99278
394.28432, C017, 11.45619
570.5432, C017, 13.61906
216.8264, C021, 14.77113
450.93896, C021, 13.19706
106.26492, C022, 15.82915
224.82, C022, 23.88903
22.33212, C023, 12.13632
215.27764, C023, 8.076496
325.68924, C023, 8.063843
403.1772, C023, 7.875574
3.34732, C024, 10.41915
9.29256, C024, 8.538796
22.28216, C024, 33.02628
23.93084, C024, 8.318247
32.02436, C024, 12.02969
356.2148, C024, 9.193818
391.78632, C024, 13.01872
401.6784, C024, 9.407829
130.895199, C025, 9.418934
234.86196, C025, 9.758888
245.25364, C025, 8.256659
622.70144, C025, 11.23466
21.58272, C026, 6.245406
22.18224, C026, 23.68225
22.53196, C026, 6.700792
23.93084, C026, 9.21872
31.12508, C026, 6.60106
32.02436, C026, 7.291592
54.10668, C026, 6.074384
133.74292, C026, 6.091106
385.941, C026, 6.269575
389.03852, C026, 7.896807
648.03116, C026, 6.086416
22.38208, C027, 9.203623
36.62068, C027, 7.202399
71.64264, C027, 6.970162
134.142599, C027, 15.64634
134.79208, C027, 10.00096
136.74052, C027, 9.516725
169.71412, C027, 7.411325
211.3308, C027, 15.09049
213.62896, C027, 8.775196
215.5774, C027, 7.185066
216.72648, C027, 7.228529
217.92552, C027, 8.636375
233.61296, C027, 7.047061
244.45428, C027, 9.959185
252.94748, C027, 7.538238
254.49624, C027, 7.445283
325.989, C027, 9.280661
362.25996, C027, 7.101976
421.01292, C027, 7.766652
662.41964, C027, 7.563757
40.9672, C028, 12.07862
96.6726, C028, 9.470374
101.46876, C028, 10.61841
51.00916, C029, 21.49296
51.80852, C029, 13.93512
234.51224, C030, 20.21642
411.57048, C030, 17.38179
450.23952, C030, 14.72501
637.58952, C030, 14.30666
644.9836, C030, 13.01201
164.16856, C031, 13.06975
183.95272, C031, 16.07903
232.11416, C031, 14.18635
243.20528, C032, 16.0834
665.66704, C032, 11.56396
670.9628, C033, 7.326402
103.21736, C034, 9.846806
211.48068, C034, 9.316898
335.83112, C034, 12.77512
373.25116, C034, 10.93793
390.53732, C034, 11.11888
413.36904, C034, 13.09694
420.76312, C034, 14.21582
4.54636, C035, 13.52853
236.91032, C035, 13.54001
48.51116, C036, 14.70767
50.05992, C036, 11.75229
53.80692, C036, 26.5347
56.10508, C036, 12.71169
57.75376, C036, 10.12454
59.15264, C036, 10.62656
62.25016, C036, 28.46648
67.046319, C036, 16.84632
69.29452000000001, C036, 9.404918
69.64424, C036, 9.427887
115.30768, C036, 8.836011
133.84284, C036, 9.019131
226.36876, C036, 9.50412
252.99744, C036, 8.699973
300.70924, C036, 10.05512
451.08884, C036, 9.677706
166.76648, C037, 12.00919
335.78116, C037, 12.37438
450.93896, C037, 14.25597
0.4996, C038, 12.96564
2.19824, C038, 15.028
2.9976, C038, 14.27363
4.59632, C038, 21.52274
15.28776, C038, 9.247636
17.38608, C038, 17.27303
395.1836, C038, 8.853718
20.63348, C040, 7.695808
21.233, C040, 9.688748
21.88248, C040, 8.116463
22.58192, C040, 5.449202
28.92684, C040, 5.437233
34.87208, C040, 5.887847
42.56592, C040, 6.086777
49.11068, C040, 5.19684
52.80772, C040, 7.173566
53.9568, C040, 5.285837
62.35008, C040, 7.186867
65.24776, C040, 5.260886
67.046319, C040, 5.643632
71.09308, C040, 6.354145
72.6918, C040, 6.625938
77.58788, C040, 5.636641
90.47756, C040, 5.850927
93.82487999999999, C040, 5.71973
111.36084, C040, 5.43919
158.82284, C040, 5.225792
259.2924, C040, 5.938849
267.286, C040, 5.592448
273.13132, C040, 5.803744
292.61572, C040, 5.289949
322.242, C040, 6.13062
323.19124, C040, 5.5171
326.9882, C040, 5.63752
331.2348, C040, 6.347414
374.2004, C040, 5.203543
390.28752, C040, 5.992461
391.1868, C040, 5.357547
409.72196, C040, 6.506628
414.86784, C040, 5.624081
416.01692, C040, 5.618377
425.60924, C040, 5.397496
449.24032, C040, 5.551599
450.6392, C040, 5.238625
644.93364, C040, 6.794688
667.2157999999999, C040, 7.85502
669.06432, C040, 8.609441
669.86368, C040, 5.436954
157.52388, C041, 7.31435
167.56584, C041, 7.312493
22.38208, C042, 8.719837
23.93084, C042, 6.308745
56.80452, C042, 5.118325
67.84568, C042, 6.808973
92.22615999999999, C042, 4.790398
188.64896, C042, 4.986527
193.64496, C042, 5.854573
253.0474, C042, 4.703156
273.08136, C042, 4.567759
273.98064, C042, 4.774585
287.31996, C042, 5.346394
291.5166, C042, 4.90265
304.45624, C042, 6.542766
374.05052, C042, 4.67177
394.9338, C042, 5.259032
412.71956, C042, 7.056543
417.21596, C042, 5.606634
451.03888, C042, 5.732791
650.4792, C042, 4.88013
654.92564, C042, 4.693337
3.29736, C044, 18.68796
22.38208, C044, 16.42393
0.44964, C045, 9.233604
1.4988, C045, 8.61408
2.2482, C045, 10.04267
4.59632, C045, 14.27002
9.14268, C045, 6.815954
17.38608, C045, 7.903363
26.92844, C045, 7.643786
524.87976, C045, 7.200332
432.60364, C046, 11.09648
29.62628, C048, 9.150788
367.7056, C048, 7.381849
20.33372, C049, 11.17255
21.18304, C050, 7.924119
359.26236, C050, 7.120139
360.61128, C050, 7.263456
425.00972, C050, 7.987229
520.43332, C051, 9.930397
524.62996, C051, 10.64735
380.1956, C052, 11.38424
398.58088, C052, 18.12545
410.47136, C052, 9.891378
91.17700000000001, C053, 7.418272
282.37392, C053, 8.739986
351.86828, C053, 22.07608
353.61688, C053, 7.910909
390.08768, C053, 7.188869
392.98536, C053, 8.084
398.28112, C053, 7.94152
399.1804, C053, 8.491634
401.87824, C053, 7.185122
403.07728, C053, 12.49846
405.57528, C053, 7.4753
4.59632, C054, 13.27612
20.03396, C054, 6.328589
47.61188, C054, 6.596876
52.50796, C054, 6.488314
64.898039, C054, 6.147779
422.21196, C054, 6.823442
621.2526, C054, 6.152267
351.76836, C055, 7.490274
393.83468, C055, 6.213707
399.68, C055, 5.770747
400.12964, C055, 7.292951
168.21532, C056, 13.05137
169.864, C056, 20.51324
298.41108, C056, 21.05502
298.86072, C056, 23.81241
350.81912, C056, 32.23216
352.06812, C056, 22.65415
371.4526, C056, 19.57312
390.48736, C056, 16.14651
398.28112, C056, 14.57216
398.73076, C056, 26.23431
399.77992, C056, 18.72963
215.47748, C057, 19.46394
216.52664, C057, 15.36157
217.0762, C057, 20.63017
6.89448, C058, 12.54823
193.44512, C058, 11.11736
109.21256, C059, 12.00003
140.93716, C059, 9.299385
144.68416, C059, 9.2629
193.64496, C059, 9.816666
200.13976, C059, 10.33652
215.62736, C059, 9.734093
216.3268, C059, 11.75224
217.27604, C059, 15.18668
400.22956, C059, 13.17242
412.21996, C059, 9.647206
450.889, C059, 14.44829
662.66944, C059, 9.850479
4.69624, C060, 6.627395
10.69144, C060, 6.835414
245.40352, C060, 6.014892
390.03772, C060, 7.666922
390.53732, C060, 8.684404
650.37928, C060, 6.730526
3.34732, C061, 5.84776
77.63784, C061, 6.803939
176.55864, C061, 6.001146
245.85316, C061, 7.925015
264.2884, C061, 6.225591
383.6928, C061, 6.095127
394.33428, C061, 6.918775
399.63004, C061, 6.082872
400.1796, C061, 5.840035
401.9282, C061, 5.976304
426.80828, C061, 6.445312
471.3726, C061, 5.84668
473.371, C061, 7.733304
477.31784, C061, 6.376029
508.79264, C061, 6.009772
508.99248, C061, 6.052791
511.44052, C061, 7.052752
513.88856, C061, 6.205073
37.27016, C062, 10.234
86.28091999999999, C062, 12.43016
88.9288, C062, 9.800659
247.5518, C062, 15.71067
290.61732, C062, 9.667986
392.9354, C062, 11.90346
481.66436, C062, 9.679451
69.09468, C063, 7.002148
247.5518, C063, 12.36961
517.28584, C063, 6.067802
517.6355600000001, C063, 6.073508
520.13356, C063, 6.856721
579.23624, C063, 6.277043
71.74256, C065, 6.431552
74.4404, C065, 5.128851
93.37524000000001, C065, 6.501301
162.6198, C065, 5.229387
202.88756, C065, 6.129707
254.69608, C065, 5.513414
256.19488, C065, 5.33603
259.2924, C065, 5.267446
390.58728, C065, 6.265134
478.81664, C065, 5.643467
517.38576, C065, 5.921382
520.98288, C065, 5.772137
547.062, C065, 8.185614
513.93852, C066, 14.2534
265.08776, C067, 11.74099
5.44564, C068, 5.490218
5.64548, C068, 5.588595
9.242599999999999, C068, 6.26385
36.32092, C068, 5.698825
49.11068, C068, 5.777864
51.30892, C068, 5.867421
55.60548, C068, 7.011337
61.7006, C068, 6.72011
63.9488, C068, 5.344028
67.29612, C068, 5.600621
72.44199999999999, C068, 6.419341
79.38643999999999, C068, 6.751969
79.58628, C068, 5.187074
83.38324, C068, 5.586534
84.932, C068, 6.427779
89.07868000000001, C068, 7.046309
91.32688, C068, 7.28709
95.02392, C068, 6.139654
95.57348, C068, 5.382594
98.17140000000001, C068, 6.739449
104.06668, C068, 5.36826
107.76372, C068, 5.553643
135.79128, C068, 6.49086
137.43996, C068, 5.517564
144.33444, C068, 5.481289
145.3836, C068, 5.763679
157.47392, C068, 9.618036
157.72372, C068, 6.528461
166.26688, C068, 5.796219
179.1066, C068, 7.641911
192.19612, C068, 6.24046
194.14456, C068, 5.153617
198.54104, C068, 5.137141
229.11656, C068, 5.281298
232.0642, C068, 5.871277
272.73164, C068, 5.722716
289.31836, C068, 5.330717
327.18804, C068, 5.211536
332.03416, C068, 5.372469
343.9746, C068, 5.512722
392.63564, C068, 5.23256
410.87104, C068, 5.963812
433.10324, C068, 5.80361
459.03248, C068, 5.474305
475.31944, C068, 5.397121
498.90056, C068, 5.962245
535.72108, C068, 5.452366
597.022, C068, 5.683244
648.1810400000001, C068, 5.595642
54.00676, C069, 5.663543
128.49712, C069, 6.648191
194.0946, C069, 7.470558
238.25924, C069, 6.219951
310.20164, C069, 5.640282
445.893, C069, 5.858847
446.79228, C069, 7.168376
447.04208, C069, 8.496269
510.841, C069, 5.899818
557.40372, C069, 6.060738
576.68828, C069, 6.451059
599.96964, C069, 6.313842
246.90232, C071, 6.879899
266.43668, C071, 6.47079
513.039239, C071, 6.483259
543.51484, C071, 8.026726
99.87004, C073, 6.792569
317.54576, C074, 7.451508
53.60708, C076, 9.405134
75.18980000000001, C076, 8.647622
422.56168, C076, 8.681148
458.53288, C076, 8.78147
565.797, C076, 6.879725
575.38932, C076, 7.108925
14.78816, C077, 4.195177
28.37728, C077, 5.287806
29.87608, C077, 4.632784
45.41364, C077, 3.826143
47.16224, C077, 4.316496
71.89243999999999, C077, 4.345464
76.03912, C077, 4.572989
121.30288, C077, 4.935899
122.80168, C077, 3.946046
134.69216, C077, 4.081589
138.73892, C077, 6.047838
153.02748, C077, 4.791184
157.07424, C077, 4.715609
158.67296, C077, 3.93369
173.71092, C077, 7.931707
182.20412, C077, 4.798236
194.29444, C077, 4.453657
197.39196, C077, 4.560093
205.38556, C077, 4.86482
209.03264, C077, 4.710633
214.42832, C077, 4.522255
216.52664, C077, 4.03041
218.77484, C077, 3.911732
219.37436, C077, 4.823127
245.10376, C077, 4.410543
254.14652, C077, 3.87696
272.7816, C077, 4.394006
273.531, C077, 3.828206
284.97184, C077, 4.463991
286.07096, C077, 4.39048
301.55856, C077, 3.915746
304.80596, C077, 4.333755
305.70524, C077, 5.223706
306.5046, C077, 4.210801
307.7536, C077, 3.799032
323.34112, C077, 4.5119
326.68844, C077, 4.190846
334.9818, C077, 4.158689
348.57092, C077, 4.082428
349.81992, C077, 5.074549
351.66844, C077, 4.495433
358.61288, C077, 5.335207
363.80872, C077, 4.208463
364.80792, C077, 4.369073
380.59528, C077, 4.773271
388.13924, C077, 3.833042
400.07968, C077, 4.266715
406.1748, C077, 3.961564
410.1716, C077, 4.05834
416.9162, C077, 4.50245
422.6616, C077, 4.668105
426.55848, C077, 3.781522
437.84944, C077, 3.89137
445.3934, C077, 3.811506
460.1316, C077, 4.257022
479.56604, C077, 3.976215
524.8298, C077, 4.591017
528.077199, C077, 5.650993
546.46248, C077, 5.059537
551.20868, C077, 4.664339
554.90572, C077, 4.510561
573.14112, C077, 4.525858
592.57556, C077, 4.070364
618.65468, C077, 5.548002
630.19544, C077, 4.522284
671.86208, C077, 3.872349
32.02436, C078, 5.285991
41.01716, C078, 4.411724
47.7118, C078, 4.459317
57.55392, C078, 5.086494
67.89564, C078, 6.068782
75.18980000000001, C078, 4.564385
77.9376, C078, 4.954315
79.73616, C078, 4.812439
82.53391999999999, C078, 5.371394
85.58148, C078, 6.113151
96.4228, C078, 4.483052
108.61304, C078, 4.789907
112.21016, C078, 4.371075
123.9008, C078, 4.557127
127.34804, C078, 5.70555
130.24572, C078, 4.474527
145.43356, C078, 5.73746
147.93156, C078, 4.377473
149.23052, C078, 4.81056
190.64736, C078, 4.702073
206.3348, C078, 4.613783
233.21328, C078, 4.371852
249.70008, C078, 5.111
251.2988, C078, 4.833248
257.94348, C078, 4.631208
272.93148, C078, 4.414568
274.33036, C078, 4.581079
342.4758, C078, 4.585929
394.78392, C078, 4.975775
414.61804, C078, 4.430494
420.56328, C078, 6.095874
422.61164, C078, 5.252101
425.05968, C078, 9.88138
425.95896, C078, 5.757885
428.75672, C078, 4.507965
429.00652, C078, 5.164788
434.25232, C078, 4.527958
434.652, C078, 4.668363
452.18796, C078, 4.483724
462.97932, C078, 5.155325
481.96412, C078, 4.866937
503.5968, C078, 4.786554
510.94092, C078, 4.740692
518.63476, C078, 4.878561
531.52444, C078, 4.642364
555.35536, C078, 4.712271
560.75104, C078, 4.879925
565.49724, C078, 4.486075
13.33932, C079, 15.59344
87.77972, C079, 13.92641
88.87884, C079, 14.18202
151.22892, C079, 14.96906
301.30876, C079, 16.44443
424.70996, C079, 14.51934
428.85664, C079, 16.47667
6.09512, C080, 10.39657
127.44796, C080, 7.361347
262.7896, C080, 6.885398
311.55056, C080, 6.953264
344.37428, C080, 8.647825
412.07008, C080, 8.427773
414.06848, C080, 8.681829
415.06768, C080, 8.39114
424.75992, C080, 9.823128
432.35384, C080, 6.920865
432.60364, C080, 8.457323
495.45332, C080, 7.921796
561.75024, C080, 7.762553
665.9668, C080, 12.4956
670.41324, C080, 7.715759
4.64628, C081, 7.33055
14.33852, C081, 6.755303
15.2378, C081, 7.779529
61.4508, C081, 7.061353
290.7672, C081, 7.06936
422.36184, C081, 8.780499
428.25712, C081, 8.064087
424.1604, C082, 8.059595
425.30948, C082, 9.197058
428.50692, C082, 10.46688
432.00412, C082, 8.673706
433.75272, C082, 10.20726
10.94124, C084, 5.179653
11.9904, C084, 6.477786
15.33772, C084, 5.46284
23.83092, C084, 4.69128
30.27576, C084, 5.482538
47.7118, C084, 5.460971
55.30572, C084, 5.046768
65.79732, C084, 4.938331
110.56148, C084, 5.036007
152.1282, C084, 4.973129
163.41916, C084, 4.674834
174.95992, C084, 4.58851
178.15736, C084, 4.793639
181.105, C084, 4.870776
187.35, C084, 5.139536
212.77964, C084, 6.327356
228.21728, C084, 6.04954
233.96268, C084, 5.9824
247.60176, C084, 4.939371
272.68168, C084, 6.705021
294.56416, C084, 5.144667
298.41108, C084, 5.180577
309.65208, C084, 6.148332
312.64968, C084, 4.78017
315.79716, C084, 4.808204
324.19044, C084, 5.011456
327.9874, C084, 4.858197
331.43464, C084, 5.301478
332.68364, C084, 5.416178
335.2316, C084, 4.849961
358.51296, C084, 4.855771
361.41064, C084, 4.755979
367.206, C084, 5.177806
387.48976, C084, 4.765706
393.33508, C084, 6.640567
396.63244, C084, 4.722179
422.36184, C084, 5.772451
430.10564, C084, 6.979594
431.70436, C084, 8.005214
432.05408, C084, 9.202682
432.70356, C084, 6.432597
433.60284, C084, 4.99222
440.99692, C084, 5.76767
463.47892, C084, 4.776087
467.77548, C084, 5.464313
490.857, C084, 4.595428
552.25784, C084, 5.426751
555.60516, C084, 4.593859
578.58676, C084, 4.776493
593.0252, C084, 5.180495
609.21224, C084, 4.748001
667.81532, C084, 5.300194
215.17772, C085, 13.82958
20.28376, C086, 8.247173
194.0946, C086, 6.654996
27.52796, C087, 9.363373
0.89928, C088, 5.602215
4.4964, C088, 8.852638
17.58592, C088, 6.590111
17.88568, C088, 5.585082
18.53516, C088, 6.871127
26.92844, C088, 14.34605
29.67624, C088, 6.126461
30.9752, C088, 5.256112
31.42484, C088, 5.474752
32.27416, C088, 5.515595
40.76736, C088, 6.055959
46.86248, C088, 6.817148
72.04232, C088, 5.828615
79.43640000000001, C088, 5.908761
85.48156, C088, 5.592165
89.07868000000001, C088, 11.38484
90.1778, C088, 6.667336
92.27612000000001, C088, 6.498971
173.91076, C088, 5.261359
248.85076, C088, 5.704247
272.68168, C088, 5.215015
273.73084, C088, 5.399489
341.02696, C088, 5.238209
357.16404, C088, 5.35316
367.65564, C088, 5.210537
400.07968, C088, 5.276445
432.25392, C088, 7.593635
432.6536, C088, 7.24127
432.95336, C088, 14.09225
433.30308, C088, 5.348429
585.93088, C088, 5.735851
636.64028, C088, 5.792663
8.14348, C089, 15.56583
20.33372, C089, 11.81887
25.52956, C089, 11.49209
29.67624, C089, 12.00229
177.8576, C089, 10.30758
180.90516, C089, 10.77608
299.61012, C089, 9.181252
299.90988, C089, 10.64034
384.39224, C089, 9.891106
387.4398, C089, 20.312
390.1876, C089, 13.00014
392.9354, C089, 11.16166
483.8626, C089, 9.312267
650.62908, C089, 9.25511
92.02632, C091, 19.35757
122.80168, C091, 23.60567
319.54416, C091, 21.60639
363.10928, C091, 19.44798
432.55368, C091, 22.7134
648.58072, C091, 22.44661
61.4508, C092, 13.84722
367.7056, C092, 11.2561
3.39728, C094, 14.2111
5.59552, C094, 6.96114
15.58752, C094, 6.996092
19.18464, C094, 7.78921
180.1058, C094, 7.542426
395.1836, C094, 13.52655
9.84212, C095, 18.15874
31.82452, C095, 15.02352
48.4612, C095, 10.46338
53.90684, C095, 10.9039
89.82808, C095, 11.23288
93.4252, C095, 13.90026
103.21736, C095, 10.61907
199.54024, C095, 12.25417
201.68852, C095, 13.8749
235.61136, C095, 10.86778
287.12012, C095, 13.73139
150.07984, C096, 8.404061
238.559, C096, 7.078375
266.38672, C096, 10.14499
266.63652, C096, 8.187215
270.0338, C096, 7.895687
19.18464, C097, 7.248257
19.53436, C097, 5.355635
20.63348, C097, 5.153783
29.42644, C097, 6.291028
48.01156, C097, 5.218125
48.4612, C097, 8.218071
56.15504, C097, 5.205828
65.89724, C097, 5.14886
103.21736, C097, 5.302837
173.76088, C097, 5.430293
220.22368, C097, 5.567924
269.23444, C097, 5.274227
283.17328, C097, 5.51475
303.90668, C097, 5.647624
327.83752, C097, 5.110995
340.4774, C097, 5.292232
340.7272, C097, 5.055202
370.15364, C097, 5.830473
397.63164, C097, 7.217188
398.6808, C097, 6.138108
402.37784, C097, 5.213008
436.85024, C097, 6.637105
465.72712, C097, 5.657386
506.44452, C097, 6.158119
513.039239, C097, 7.917485
