Time (s), Cell Name, Value
50.010961, C00, 11.86743
54.257646, C00, 28.05519
55.206905, C00, 10.48479
83.03518200000001, C00, 14.89778
85.683115, C00, 12.20808
208.886941, C00, 10.81523
243.609836, C00, 10.66323
298.367092, C00, 10.61993
298.666858, C00, 11.38342
299.566156, C00, 15.36508
419.272712, C00, 11.05311
427.016667, C00, 19.01296
657.736565, C00, 10.16242
8.543331, C01, 9.371949
9.092902, C01, 7.637484
9.442629, C01, 7.656588
104.618334, C01, 5.572347
105.067983, C01, 5.651319
105.867359, C01, 7.939075
124.552773, C01, 5.615192
198.095365, C01, 14.10885
258.248408, C01, 9.105003
350.826142, C01, 6.313336
382.651299, C01, 8.295369
423.319553, C01, 9.912465
424.16889, C01, 7.728476
511.10103, C01, 9.280598
514.448416, C01, 7.584422
535.2321930000001, C01, 5.653884
568.006609, C01, 6.086396
568.656102, C01, 8.443217
607.925448, C01, 5.780485
649.892688, C01, 5.691286
655.98793, C01, 7.10218
656.287696, C01, 8.693377
2.548011, C02, 5.848563
14.538651, C02, 5.557395
162.423211, C02, 6.64582
163.122665, C02, 8.916648
186.85414, C02, 6.151368
206.438852, C02, 5.800035
241.81124, C02, 5.464784
262.744898, C02, 5.799531
346.379613, C02, 6.811927
422.470216, C02, 7.043656
423.019787, C02, 6.712121
2.647933, C03, 4.393974
6.295086, C03, 4.309105
11.241225, C03, 5.529724
13.039821, C03, 4.721603
19.434829, C03, 5.851701
135.494232, C03, 4.477395
234.067285, C03, 4.233526
263.79408, C03, 5.186705
274.885422, C03, 4.610244
312.306211, C03, 4.254
362.916704, C03, 4.529496
369.961205, C03, 4.78542
371.260191, C03, 5.324497
395.641159, C03, 4.568721
448.15017, C03, 4.202418
472.880865, C03, 4.289314
483.572519, C03, 5.623855
626.311096, C03, 4.527938
649.293156, C03, 5.301342
0.299766, C04, 4.835725
23.331787, C04, 4.798228
187.503633, C04, 11.19114
235.616076, C04, 5.390751
260.396732, C04, 28.10583
260.946303, C04, 9.025333
268.690258, C04, 3.978607
271.488074, C04, 4.25417
273.436553, C04, 3.967962
305.661398, C04, 4.672674
328.843302, C04, 9.211161
329.043146, C04, 28.69407
329.692639, C04, 8.539062
343.431914, C04, 5.657245
346.829262, C04, 4.12262
421.470996, C04, 4.321106
