Time (s), Cell Name, Value
105.267827, C01, 7.762867
42.96646, C06, 14.70643
167.219467, C06, 8.644417
310.607537, C06, 9.182465
360.318732, C06, 8.977596
366.264091, C06, 8.731907
55.256866, C08, 8.764511
59.853278, C08, 9.76976
156.327969, C08, 13.17905
159.525473, C08, 9.313307
252.602816, C08, 8.732897
271.887762, C08, 8.955601
272.337411, C08, 8.734182
424.568578, C08, 9.758722
58.554292, C09, 19.27321
168.768258, C15, 11.75223
171.616035, C15, 10.70823
322.448294, C15, 10.20619
333.789441, C15, 14.07868
356.321852, C15, 9.159946
215.132066, C16, 5.581894
434.310973, C16, 6.162758
574.101851, C16, 6.752464
153.779958, C20, 8.506652
159.575434, C20, 7.547892
163.222587, C20, 9.289886
668.47818, C20, 8.927267
35.072622, C23, 15.59675
40.568332, C23, 8.545017
42.267006, C23, 7.010381
58.754136, C23, 7.918328
455.844164, C24, 10.9061
3.896958, C25, 24.21483
59.153824, C25, 19.61229
159.725317, C27, 8.67577
343.681719, C28, 9.287884
529.386756, C28, 8.711152
578.348536, C28, 8.54912
137.092984, C30, 13.38943
29.576912, C32, 7.81335
130.39821, C34, 8.09541
143.88768, C34, 8.237268
471.032308, C35, 6.095543
63.050782, C39, 10.25917
70.894659, C39, 7.905472
74.591773, C39, 14.57826
214.8323, C39, 10.30868
216.381091, C39, 7.28154
508.203292, C39, 15.85058
508.902746, C39, 7.366936
61.501991, C41, 11.12896
582.495299, C42, 66.71674
86.032842, C46, 17.61175
97.97352100000001, C46, 18.22179
128.149965, C46, 17.53
154.979022, C46, 20.73249
181.158586, C46, 17.68343
515.2977540000001, C46, 20.07062
529.486678, C46, 24.78337
64.949299, C49, 20.18657
73.592553, C49, 26.40496
208.637136, C49, 15.57807
275.734759, C49, 18.12211
279.731639, C49, 15.43338
289.723839, C49, 43.76858
312.75586, C49, 15.3257
313.855002, C49, 19.65744
469.783283, C49, 16.49538
571.204113, C49, 15.96826
664.031651, C49, 17.57475
669.777166, C49, 15.2933
52.009401, C51, 24.98807
131.597274, C51, 44.13058
134.245207, C51, 25.50587
175.86272, C51, 28.98078
272.637177, C51, 34.06615
322.498255, C51, 46.55647
346.079847, C51, 35.82453
374.957305, C51, 31.42253
458.991707, C51, 26.62788
542.776304, C51, 25.39381
572.7529039999999, C51, 34.22089
573.402397, C51, 25.06923
8.343487, C52, 37.12763
578.948068, C54, 31.39929
56.156164, C55, 31.92675
56.755696, C55, 23.05541
162.173406, C55, 46.81174
174.413851, C55, 22.21555
174.8635, C55, 56.71714
175.512993, C55, 25.24292
384.399934, C55, 24.46132
462.289133, C55, 26.68488
665.98013, C55, 30.34587
30.875898, C56, 24.9147
331.24143, C56, 20.08991
456.343774, C56, 20.61287
138.142165, C59, 63.77037
28.677614, C61, 35.22066
