Time (s), Cell Name, Value
6.99454, C00, 5.370167
10.941459, C00, 4.966887
11.391108, C00, 4.632039
185.455232, C00, 5.355835
257.598915, C00, 4.613775
271.937723, C00, 5.038602
289.324151, C00, 4.693752
330.541976, C00, 4.758946
421.570918, C00, 6.358552
465.686481, C00, 4.357802
487.069789, C00, 4.335873
492.065889, C00, 4.55802
495.013588, C00, 5.944044
577.449238, C00, 4.546587
586.242374, C00, 5.362396
593.53668, C00, 4.501484
593.686563, C00, 5.880561
597.983209, C00, 4.436034
600.930908, C00, 4.461414
602.479699, C00, 6.477119
604.02849, C00, 5.504972
71.04454200000001, C01, 7.794975
83.484831, C01, 6.474922
187.053984, C01, 7.656614
195.697237, C01, 10.38024
200.293649, C01, 11.66724
201.043064, C01, 6.767178
203.690997, C01, 7.27808
539.978488, C01, 8.638498
540.827825, C01, 6.173485
581.346196, C01, 6.968897
586.54214, C01, 7.758112
586.991789, C01, 8.884285
595.53512, C01, 9.65805
595.884847, C01, 8.500916
601.4804789999999, C01, 8.268198
601.730284, C01, 6.83246
30.47621, C02, 4.884916
38.220165, C02, 4.532327
229.770639, C02, 4.281929
277.833121, C02, 5.597052
287.075906, C02, 4.148205
287.875282, C02, 4.491327
288.474814, C02, 4.31788
289.324151, C02, 12.59936
298.566936, C02, 4.716968
299.166468, C02, 4.420012
304.812061, C02, 4.454258
322.997865, C02, 5.608372
355.072827, C02, 4.885655
429.015107, C02, 4.203864
446.851184, C02, 4.382051
474.479617, C02, 4.27852
477.027628, C02, 4.912469
489.018268, C02, 4.206701
327.944004, C04, 14.17061
115.309988, C05, 17.02614
134.994622, C05, 13.91231
136.39353, C05, 14.3985
141.589474, C05, 15.05562
295.369432, C05, 12.13131
395.641159, C05, 12.17053
4.546451, C06, 4.328637
4.896178, C06, 5.930361
5.795476, C06, 6.531597
9.442629, C06, 6.645773
12.240445, C06, 6.313167
18.435609, C06, 6.469619
19.434829, C06, 6.254485
21.98284, C06, 4.481329
22.232645, C06, 7.241013
22.732255, C06, 4.539417
31.875118, C06, 5.49598
50.810337, C06, 4.275193
51.309947, C06, 4.674533
154.979022, C06, 4.248831
171.815879, C06, 4.793332
176.312369, C06, 5.251037
178.160926, C06, 4.661137
179.35999, C06, 5.443139
181.508313, C06, 4.307131
181.708157, C06, 4.925563
190.151566, C06, 4.732787
190.601215, C06, 6.094497
237.214828, C06, 4.206616
238.563775, C06, 5.109389
444.353134, C06, 8.724493
448.000287, C06, 4.368514
451.247752, C06, 4.840773
469.933166, C06, 4.703205
475.278993, C06, 4.667406
488.368775, C06, 4.695474
494.863705, C06, 4.279591
506.704462, C06, 4.411149
506.954267, C06, 5.346765
520.993307, C06, 4.926452
553.06827, C06, 4.387244
582.645182, C06, 5.167631
613.321236, C06, 4.792336
289.324151, C07, 6.366337
485.171271, C07, 6.478727
6.644813, C08, 5.722119
6.99454, C08, 5.186644
7.644033, C08, 6.024069
14.888378, C08, 5.1842
15.338027, C08, 6.674046
17.036701, C08, 4.948202
115.90952, C08, 4.929392
185.555154, C08, 9.350645
187.503633, C08, 5.538638
209.386551, C08, 5.519769
252.053245, C08, 5.962532
273.836241, C08, 4.921527
278.232809, C08, 5.535753
331.091547, C08, 6.482906
404.334373, C08, 5.594304
455.944086, C08, 5.546805
464.037768, C08, 5.137628
465.736442, C08, 5.684591
506.354735, C08, 5.739235
509.452317, C08, 6.457357
561.7115230000001, C08, 6.32277
566.008169, C08, 7.612429
30.875898, C09, 4.529565
121.455191, C09, 5.398066
148.234287, C09, 5.130746
150.88222, C09, 4.622073
224.8245, C09, 4.523915
233.517714, C09, 5.618915
340.73402, C09, 5.637785
430.114249, C09, 5.00858
432.562338, C09, 5.741167
484.12209, C09, 4.894736
614.570261, C09, 4.825239
32.424689, C10, 5.27915
94.42628999999999, C10, 5.305245
94.62613399999999, C10, 5.946198
94.875939, C10, 5.81174
102.869699, C10, 6.168094
192.449772, C10, 6.54371
197.495833, C10, 8.141012
340.484215, C10, 6.598696
418.423375, C10, 5.397059
77.539472, C11, 9.242891
113.261587, C11, 9.030165
160.774498, C11, 10.78446
165.171066, C11, 10.16984
167.519233, C11, 8.127007
168.018843, C11, 17.25523
169.917361, C11, 24.74492
170.416971, C11, 35.51088
171.466152, C11, 17.63605
172.265528, C11, 9.144203
343.282031, C11, 10.33482
344.680939, C11, 18.6974
345.180549, C11, 11.24534
345.530276, C11, 21.86866
451.197791, C11, 9.677664
519.6943220000001, C11, 8.580606
520.993307, C11, 17.29818
586.142452, C11, 23.51959
587.741204, C11, 10.95589
587.991009, C11, 8.655035
16.936779, C17, 24.59884
17.186584, C17, 38.58079
17.636233, C17, 20.79703
20.633893, C17, 59.99106
21.433269, C17, 44.46986
21.932879, C17, 18.00706
22.432489, C17, 16.52986
111.41303, C17, 20.77186
114.460651, C17, 24.48254
114.810378, C17, 35.59168
115.260027, C17, 34.20679
118.707336, C17, 74.50523
120.705776, C17, 16.95102
206.738618, C17, 14.74228
207.288189, C17, 29.4995
251.253869, C17, 17.87105
251.703518, C17, 16.31447
252.353011, C17, 14.37648
274.185968, C17, 18.34798
274.935383, C17, 18.46426
275.085266, C17, 14.39403
606.276735, C17, 18.93175
606.6264619999999, C17, 23.57561
607.076111, C17, 18.53399
607.675643, C17, 16.81727
